sample,hifi_dir,version,date,tolid,taxid
OG680,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG680/hifi/,hifi1,v241004,OG680,7898
OG811,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG811/hifi/,hifi1,v241004,OG811,7898
OG766,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG766/hifi/,hifi1,v241004,OG766,7898
OG767,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG767/hifi/,hifi1,v241004,OG767,7898
OG785,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG785/hifi/,hifi1,v241004,OG785,7898
OG810,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG810/hifi/,hifi1,v241004,OG810,7898
OG666,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG666/hifi/,hifi1,v241004,OG666,7898
OG863,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG863/hifi/,hifi1,v241004,OG863,7898
OG698,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG698/hifi/,hifi1,v241004,OG698,7898
OG686,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG686/hifi/,hifi1,v241004,OG686,7898
OG750,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG750/hifi/,hifi1,v241004,OG750,7898
OG40,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG40/hifi/,hifi1,v241004,OG40,7898
OG800,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG800/hifi/,hifi1,v241004,OG800,7898
OG824,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG824/hifi/,hifi1,v241004,OG824,7898
OG775,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG775/hifi/,hifi1,v241004,OG775,7898
OG54,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG54/hifi/,hifi1,v241004,OG54,7898
OG85,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG85/hifi/,hifi1,v240927,OG85,7898
OG787,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG787/hifi/,hifi1,v240927,OG787,7898
OG788,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG788/hifi/,hifi1,v240927,OG788,7898
OG803,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG803/hifi/,hifi1,v240927,OG803,7898
OG829,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG829/hifi/,hifi1,v240927,OG829,7898
OG860,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG860/hifi/,hifi1,v240927,OG860,7898
OG834,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG834/hifi/,hifi1,v240927,OG834,7898
OG106,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG106/hifi/,hifi1,v240927,OG106,7898
OG755,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG755/hifi/,hifi1,v240821,OG755,7898
OG856,/scratch/pawsey0812/lhuet/HIFI_ONLY/OG856/hifi/,hifi1,v240821,OG856,7898


